fecha_ingreso,hora_ingreso,nro_registro_interno,situacion,origen,es_anonima,tema,subtema,provincia,localidad,dependencia_alta,via_ingreso,consultante_nacionalidad,consultante_provincia,consultante_localidad,consultante_tipo,consultante_como_conocio_la_linea,consultante_genero,consultante_edad_aparente,provincia_indec_id
2020-01-01,,1584554505,Urgencia,Ciudadano,No,Trata,Persona desaparecida,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,PNR - Línea 145,Línea 145,Argentina,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Consultante - ciudadano,,Mujer,25,2
2020-01-02,,4584554505,Urgencia,Ciudadano,No,Relaciones de familia,Deberes de responsabilidad parental o familiar,Jujuy,,PNR - Línea 145,Línea 145,Bolivia,,,Consultante - ciudadano,,Mujer,,38
2020-01-02,,5584554505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,,,,Consultante - ciudadano,,Mujer,,6
2020-01-02,,6584554505,Urgencia,Ciudadano,Si,Violencia de género,Económica,Salta,Salta,PNR - Línea 145,Línea 145,Argentina,,,Consultante,"No sabe, no recuerda",Mujer,,66
2020-01-02,,7584554505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,,,PNR - Línea 145,Línea 145,,,,Consultante,"No sabe, no recuerda",Mujer,,
2020-01-02,,8494554505,Urgencia,Ciudadano,No,Salud,Salud mental,,,PNR - Línea 145,Línea 145,,,,Consultante - ciudadano,,Hombre,,
2020-01-02,,9494554505,Urgencia,Ciudadano,No,Trata,Explotación sexual,,,PNR - Línea 145,Línea 145,,,,Consultante - ciudadano,,,,
2020-01-03,,3594554505,Urgencia,Ciudadano,No,Trabajo,Despidos,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,,,,Consultante,"No sabe, no recuerda",,,6
2020-01-03,,6594554505,Urgencia,Ciudadano,No,Trata,Explotación laboral,Tierra del Fuego,Rio Grande,PNR - Línea 145,Línea 145,Argentina,,,Consultante,"No sabe, no recuerda",Hombre,,94
2020-01-03,,7594554505,Urgencia,Ciudadano,No,Víctima de delito,"Contra la propiedad: fraude, estafa , extorsión, usurpación o daños",Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,,,,Consultante,,Hombre,,6
