camaras_pk,camaras_codigo_postal,camaras_distrito,camaras_localidad,camaras_barrio,camaras_via_clase,camaras_via_nombre,camaras_via_numero,camaras_latitud,camaras_longitud,camaras_coordenada_utm_x,camaras_coordenada_utm_y,camaras_accesibilidad,camaras_propietario,camaras_propietario_telefono,camaras_relevantes_faltantes
7611750,28031,VILLA DE VALLECAS,MADRID,CASCO H.VALLECAS,CALLE,GONZALEZ DAVILA,18.0,40.37541763097039,-3.638845084588055,445768,4469623,3,ARCHIVO JUDICIAL TERRITORIAL DE LA COMUNIDAD DE MADRID,913329570,COMPLETO
91189,28001,SALAMANCA,MADRID,RECOLETOS,CALLE,GOYA,14.0,40.42508211473968,-3.684935943011842,441898,4475164,3,AUDIENCIA NACIONAL JUZGADO CENTRAL DE MENORES ÃNICO,914007436914007437,COMPLETO
66672,28004,CENTRO,MADRID,JUSTICIA,CALLE,GARCIA GUTIERREZ,1.0,40.42591696701239,-3.6929960000180335,441215,4475262,3,AUDIENCIA NACIONAL JUZGADOS CENTRALES DE INSTRUCCIÃN,,COMPLETO
91192,28001,SALAMANCA,MADRID,RECOLETOS,CALLE,GOYA,14.0,40.42508211473968,-3.684935943011842,441898,4475164,3,AUDIENCIA NACIONAL SALA DE LO CONTENCIOSO  ADMINISTRATIVO,,COMPLETO
542,28004,CENTRO,MADRID,JUSTICIA,CALLE,GARCIA GUTIERREZ,1.0,40.42591696701239,-3.6929960000180335,441875,4478736,3,AUDIENCIA NACIONAL SALA DE LO PENAL,,COMPLETO
6273949,28001,SALAMANCA,MADRID,RECOLETOS,CALLE,GOYA,14.0,40.42508211473968,-3.684935943011842,441898,4475164,3,AUDIENCIA NACIONAL SALA DE LO SOCIAL ÃNICA,914007258914007257,COMPLETO
544,28035,FUENCARRAL-EL PARDO,MADRID,PEÃ¯Â¿Â½A GRANDE,CALLE,SANTIAGO DE COMPOSTELA,100.0,40.47737142175386,-3.720237637923901,438950,4480992,3,AUDIENCIA PROVINCIAL DE MADRID CALLE SANTIAGO DE COMPOSTELA 100,914937124,COMPLETO
543,28035,FUENCARRAL-EL PARDO,MADRID,PEÃ¯Â¿Â½A GRANDE,CALLE,SANTIAGO DE COMPOSTELA,96.0,40.477877678025976,-3.7200392972598286,446869,4475383,3,AUDIENCIA PROVINCIAL DE MADRID CALLE SANTIAGO DE COMPOSTELA 96,914937124,COMPLETO
51493,28046,TETUAN,MADRID,CASTILLEJOS,PLAZA,CASTILLA,1.0,40.46514986607197,-3.6902025083603656,441486,4479615,3,CLÃNICA MÃDICO FORENSE,914932502,COMPLETO
8037447,28004,CENTRO,MADRID,JUSTICIA,CALLE,MARQUES DE LA ENSENADA,8.0,40.42413604278863,-3.692517980456627,441254,4475064,3,CONSEJO GENERAL DEL PODER JUDICIAL SEDE CENTRAL,917006100,COMPLETO
1633,28010,CHAMBERI,MADRID,TRAFALGAR,CALLE,TRAFALGAR,27.0,40.43341500950279,-3.701538096870999,440497,4476100,3,CONSEJO GENERAL DEL PODER JUDICIAL SERVICIO DE ATENCIÃN A LA CIUDADANÃA,917005868,COMPLETO
7612496,28008,MONCLOA-ARAVACA,MADRID,ARGUELLES,CALLE,VENTURA RODRIGUEZ,7.0,40.42526825572236,-3.713737002455046,439455,4475204,3,FISCALÃA DE DISCAPACIDADES Y TUTELAS,914438730,COMPLETO
5185507,28010,CHAMBERI,MADRID,ALMAGRO,CALLE,FORTUNY,4.0,40.42860469149395,-3.690984085212356,441498,4475767,0,FISCALÃA DEL TRIBUNAL SUPREMO,913352141,COMPLETO
7612132,28004,CENTRO,MADRID,JUSTICIA,CALLE,GENERAL CASTA&;N;OS,1.0,40.42468431758989,-3.694232913648584,441109,4475126,3,FISCALÃA SUPERIOR COMUNIDAD DE MADRID,914934852,COMPLETO
7612943,28020,TETUAN,MADRID,CASTILLEJOS,CALLE,FRANCISCO GERVAS,10.0,40.460934721665055,-3.693037267216853,441242,4479149,3,FISCALÃA   SECCIÃN CIVIL,914936349,COMPLETO
7612817,28004,CENTRO,MADRID,JUSTICIA,CALLE,BARQUILLO,23.0,40.42239624481564,-3.6956946714498695,440983,4474873,3,FISCALÃA  CONTENCIOSO ADMINISTRATIVO,915221735,COMPLETO
7612449,28020,TETUAN,MADRID,CASTILLEJOS,CALLE,POETA JOAN MARAGALL,53.0,40.4635368482201,-3.691778340982052,441351,4479437,3,FISCALÃA  DELITOS ECONÃMICOS,914932660914932663,COMPLETO
7612483,28020,TETUAN,MADRID,CASTILLEJOS,CALLE,POETA JOAN MARAGALL,53.0,40.4635368482201,-3.691778340982052,441351,4479437,3,FISCALÃA  EJECUTORIAS PENALES,914932472,COMPLETO
7612716,28037,SAN BLAS-CANILLEJAS,MADRID,SIMANCAS,CALLE,JULIAN CAMARILLO,11.0,40.43404969458037,-3.6321134335539744,446386,4476126,3,FISCALÃA  ENJUICIAMIENTO PENAL,914931485,COMPLETO
7612611,28046,TETUAN,MADRID,CASTILLEJOS,PLAZA,CASTILLA,1.0,40.46522363588108,-3.690027045206217,441500,4479623,3,FISCALÃA  GUARDA E INSTRUCCIÃN,914932588,COMPLETO
11769737,28037,SAN BLAS-CANILLEJAS,MADRID,SIMANCAS,CALLE,HERMANOS GARCIA NOBLEJAS,1.0,40.43772152080973,-3.6376097249566857,445922,4476537,3,FISCALÃA  GUARDIA DE MENORES,914931098,COMPLETO
7612837,28020,TETUAN,MADRID,CASTILLEJOS,CALLE,POETA JOAN MARAGALL,53.0,40.4635368482201,-3.691778340982052,441351,4479437,3,FISCALÃA  LABORAL,914933127,COMPLETO
11054550,28020,TETUAN,MADRID,CASTILLEJOS,CALLE,POETA JOAN MARAGALL,53.0,40.4635368482201,-3.691778340982052,441351,4479437,3,FISCALÃA  MEDIO AMBIENTE,914936576914933124,COMPLETO
11769739,28037,SAN BLAS-CANILLEJAS,MADRID,SIMANCAS,CALLE,HERMANOS GARCIA NOBLEJAS,1.0,40.43772152080973,-3.6376097249566857,445922,4476537,3,FISCALÃA  MENORES,914931202914931203,COMPLETO
