fecha_ingreso,hora_ingreso,via_ingreso,nro_registro_interno,es_anonima,situacion,origen,provincia,localidad,tema,subtema,dependencia_alta,derivacion_institucion,denunciante_nacionalidad,denunciante_provincia,denunciante_localidad,denunciante_tipo,denunciante_como_conocio_la_linea,denunciante_genero,denunciante_edad_aparente,derivacion_fecha,derivacion_judicializa,derivacion2_institucion,derivacion2_fecha,derivacion2_judicializa,derivacion3_institucion,derivacion3_fecha,derivacion3_judicializa,provincia_indec_id,derivacion_hora
2020-01-01 00:00:00-03:00,,Línea 145,584554505,No,Urgencia,Ciudadano,Buenos Aires,Maquinista Savio,Trata,Explotación sexual,PNR - Línea 145,Protex,,,,Denunciante - ciudadano,,Hombre,,2020-01-01 00:00:00-03:00,Sí,,,,,,,6.0,0.0
2020-01-01 00:00:00-03:00,,Línea 145,2584554505,No,Emergencia,Institución,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Trata,"Explotación sexual niñas, niños y adolescentes",PNR - Línea 145,Gendarmería Nacional Argentina,Argentina,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Denunciante - ciudadano,,Mujer,,2020-01-01 00:00:00-03:00,Sí,,,,,,,2.0,0.0
2020-01-02 00:00:00-03:00,,Línea 145,3584554505,No,Urgencia,Ciudadano,Buenos Aires,San Francisco Solano,Trata,"Extracción forzosa de órganos, tejidos o fluidos",PNR - Línea 145,Protex,Argentina,Buenos Aires,Claypole,Denunciante - ciudadano,,Mujer,45.0,2020-01-02 00:00:00-03:00,Sí,,,,,,,6.0,0.0
2020-01-02 00:00:00-03:00,,Línea 145,594554505,Sí,Urgencia,Ciudadano,Córdoba,Laboulaye,Trata,Explotación sexual,PNR - Línea 145,Protex,Argentina,,,Denunciante - ciudadano,Por publicidad en internet,Mujer,50.0,2020-06-24 00:00:00-03:00,Sí,,,,,,,14.0,0.0
2020-01-02 00:00:00-03:00,,Correo Institucional,1594554505,No,Urgencia,Ciudadano,Buenos Aires,Buenos Aires,Trata,Posible captación,PNR - Línea 145,Protex,,,,Denunciante - ciudadano,,Hombre,,2020-06-24 00:00:00-03:00,Sí,,,,,,,,0.0
2020-01-02 00:00:00-03:00,,Línea 145,2594554505,No,Urgencia,Institución,Buenos Aires,Buenos Aires,Trata,Persona desaparecida,PNR - Línea 145,Área Legal del Programa Nacional de Rescate,,Buenos Aires,,Denunciante - ciudadano,,Mujer,,2020-06-24 00:00:00-03:00,Sí,,,,,,,6.0,0.0
2020-01-03 00:00:00-03:00,,Línea 145,4594554505,No,Emergencia,Institución,Buenos Aires,Buenos Aires,Trata,Explotación sexual,PNR - Línea 145,,Argentina,Buenos Aires,Buenos Aires,Denunciante - ciudadano,,Mujer,,,,,,,,,,6.0,
2020-01-03 00:00:00-03:00,,Línea 145,5594554505,Sí,Urgencia,Ciudadano,Buenos Aires,Buenos Aires,Trata,Explotación laboral,PNR - Línea 145,Área Legal del Programa Nacional de Rescate,,,,,,Mujer,,2020-01-03 00:00:00-03:00,Sí,,,,,,,6.0,0.0
2020-01-03 00:00:00-03:00,,Línea 145,9405554505,Sí,Urgencia,Ciudadano,Buenos Aires,Mar del Plata,Trata,Explotación sexual,PNR - Línea 145,,,,,,,Mujer,,,,,,,,,,6.0,
2020-01-03 00:00:00-03:00,,Línea 145,505554505,No,Urgencia,Ciudadano,Buenos Aires,Buenos Aires,Trata,Explotación sexual,PNR - Línea 145,Área Legal del Programa Nacional de Rescate,,Buenos Aires,Buenos Aires,Denunciante,,Mujer,,2020-01-03 00:00:00-03:00,Sí,,,,,,,6.0,0.0
2020-01-03 00:00:00-03:00,,Línea 145,1505554505,Sí,Urgencia,Ciudadano,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Trata,Explotación sexual,PNR - Línea 145,Área Legal del Programa Nacional de Rescate,,Buenos Aires,Buenos Aires,Denunciante - ciudadano,,Hombre,,2020-01-03 00:00:00-03:00,Sí,,,,,,,2.0,0.0
2020-01-04 00:00:00-03:00,,Línea 145,7505554505,No,Urgencia,Ciudadano,Buenos Aires,San Miguel de Tucumán,Trata,Oferta laboral engañosa,PNR - Línea 145,Protex,,Buenos Aires,Villa Crespo,Denunciante - ciudadano,,Hombre,,2020-01-04 00:00:00-03:00,Sí,,,,,,,,0.0
