fecha_ingreso,hora_ingreso,via_ingreso,nro_registro_interno,es_anonima,situacion,origen,provincia,localidad,tema,subtema,dependencia_alta,derivacion_institucion,denunciante_nacionalidad,denunciante_provincia,denunciante_localidad,denunciante_tipo,denunciante_como_conocio_la_linea,denunciante_genero,denunciante_edad_aparente,derivacion_fecha,derivacion_judicializa,derivacion2_institucion,derivacion2_fecha,derivacion2_judicializa,derivacion3_institucion,derivacion3_fecha,derivacion3_judicializa,provincia_indec_id,derivacion_hora
0,1025,8,584554505,0,1,0,0,466,0,34,1,32,13,24,274,1,54,0,,0,1,21,699,2,8,18,2,6.0,0.0
0,1025,8,2584554505,0,0,1,4,135,0,47,1,16,0,4,47,1,54,2,,0,1,21,699,2,8,18,2,2.0,0.0
1,1025,8,3584554505,0,1,0,0,660,0,52,1,32,0,0,51,1,54,2,45.0,1,1,21,699,2,8,18,2,6.0,0.0
1,1025,8,594554505,1,1,0,6,392,0,34,1,32,0,24,274,1,34,2,50.0,162,1,21,699,2,8,18,2,14.0,0.0
1,1025,4,1594554505,0,1,0,0,76,0,91,1,32,13,24,274,1,54,0,,162,1,21,699,2,8,18,2,,0.0
1,1025,8,2594554505,0,1,1,0,76,0,79,1,38,13,0,274,1,54,2,,162,1,21,699,2,8,18,2,6.0,0.0
2,1025,8,4594554505,0,0,1,0,76,0,34,1,36,0,0,27,1,54,2,,1252,2,21,699,2,8,18,2,6.0,
2,1025,8,5594554505,1,1,0,0,76,0,24,1,38,13,24,274,8,54,2,,2,1,21,699,2,8,18,2,6.0,0.0
2,1025,8,9405554505,1,1,0,0,467,0,34,1,36,13,24,274,8,54,2,,1252,2,21,699,2,8,18,2,6.0,
2,1025,8,505554505,0,1,0,0,76,0,34,1,38,13,0,27,0,54,2,,2,1,21,699,2,8,18,2,6.0,0.0
2,1025,8,1505554505,1,1,0,4,135,0,34,1,38,13,0,27,1,54,0,,2,1,21,699,2,8,18,2,2.0,0.0
3,1025,8,7505554505,0,1,0,0,683,0,68,1,32,13,0,256,1,54,0,,3,1,21,699,2,8,18,2,,0.0
3,1025,8,8415554505,0,1,0,0,683,0,79,1,38,13,0,274,1,54,2,,3,1,21,699,2,8,18,2,6.0,0.0
3,1025,8,9415554505,0,1,0,23,683,0,128,1,4,13,24,274,1,54,2,,3,1,21,699,2,8,18,2,90.0,0.0
4,1025,8,2515554505,0,1,0,0,751,0,79,1,36,0,0,204,1,54,2,,1252,2,21,699,2,8,18,2,6.0,
4,1025,8,3515554505,0,1,0,0,76,0,68,1,32,13,0,256,1,54,0,,4,1,21,699,2,8,18,2,6.0,0.0
5,1025,8,5515554505,0,1,0,18,676,0,89,1,32,0,18,214,1,54,0,,5,1,21,699,2,8,18,2,74.0,0.0
5,1025,8,7515554505,0,1,0,0,76,0,79,1,32,0,0,204,1,54,2,,5,1,21,699,2,8,18,2,6.0,0.0
5,1025,8,8425554505,0,1,0,0,76,0,68,1,32,13,24,274,1,54,2,,5,1,21,699,2,8,18,2,6.0,0.0
5,1025,8,9425554505,1,0,0,20,714,0,34,1,16,13,24,274,8,54,2,,5,1,21,699,2,8,18,2,82.0,0.0
6,1025,8,525554505,1,1,0,4,135,0,37,1,38,13,24,274,1,54,0,,6,1,21,699,2,8,18,2,2.0,0.0
6,1025,15,1525554505,0,1,0,0,478,0,81,1,32,0,0,75,1,54,2,,6,1,21,699,2,8,18,2,6.0,0.0
6,1025,8,2525554505,0,1,0,4,135,0,47,1,38,13,24,274,1,54,2,,6,1,21,699,2,8,18,2,2.0,0.0
6,1025,8,3525554505,1,1,0,6,788,0,34,1,32,13,6,254,1,54,2,,6,1,21,699,2,8,18,2,14.0,0.0
7,1025,8,4525554505,1,1,0,0,731,0,34,1,38,0,24,274,1,54,0,,7,1,21,699,2,8,18,2,6.0,0.0
7,1025,8,5525554505,1,0,0,16,731,0,34,1,32,13,24,274,1,54,2,,7,1,21,699,2,8,18,2,,0.0
7,1025,8,6525554505,1,1,0,0,385,0,34,1,16,13,24,274,1,54,0,,7,1,21,699,2,8,18,2,6.0,0.0
7,1025,8,7525554505,0,1,0,0,385,0,79,1,32,0,0,153,1,54,2,,7,1,21,699,2,8,18,2,6.0,0.0
7,1025,8,8435554505,1,0,0,0,655,0,34,1,38,13,24,274,1,54,0,,7,1,21,699,2,8,18,2,6.0,0.0
7,1025,19,9435554505,0,1,1,15,655,0,34,1,32,13,15,205,1,54,2,,7,1,21,699,2,8,18,2,62.0,0.0
7,1025,8,535554505,0,1,1,5,315,0,34,1,32,0,0,177,1,54,0,,7,1,21,699,2,8,18,2,18.0,0.0
8,1025,8,1535554505,1,1,0,16,641,0,91,1,32,13,16,202,1,54,2,,8,1,21,699,2,8,18,2,,0.0
8,1025,8,2535554505,0,0,0,12,613,0,91,1,16,0,24,274,1,54,2,,8,1,21,699,2,8,18,2,50.0,0.0
8,1025,8,3535554505,0,0,1,12,613,0,91,1,16,13,24,274,8,54,2,,8,1,21,699,2,8,18,2,50.0,0.0
8,1025,8,5535554505,1,1,0,0,76,0,79,1,32,13,24,274,1,54,2,,8,1,21,699,2,8,18,2,,0.0
8,1025,8,6535554505,1,1,0,0,76,0,34,1,38,13,24,274,8,54,2,,8,1,21,699,2,8,18,2,6.0,0.0
8,1025,8,7535554505,0,1,0,12,135,0,91,1,32,0,24,274,1,54,2,,8,1,21,699,2,8,18,2,50.0,0.0
8,1025,8,9445554505,1,1,0,4,135,0,34,1,38,13,0,27,1,54,0,,8,1,21,699,2,8,18,2,2.0,0.0
8,1025,8,545554505,0,1,0,0,76,0,91,1,32,0,0,27,1,54,0,,8,1,21,699,2,8,18,2,6.0,0.0
8,1025,8,2545554505,0,1,0,16,641,0,5,1,32,0,16,202,1,54,2,,162,1,21,699,2,8,18,2,,0.0
8,1025,8,4545554505,0,1,0,12,481,0,91,1,32,13,24,274,1,54,2,,8,1,21,699,2,8,18,2,50.0,0.0
8,1025,8,5545554505,0,1,0,20,662,0,79,1,32,13,0,274,1,54,2,,8,1,21,699,2,8,18,2,,0.0
9,1025,8,7545554505,1,1,0,20,662,0,34,1,32,13,24,274,8,54,2,,9,1,21,699,2,8,18,2,82.0,0.0
9,1025,8,8455554505,0,1,0,0,76,0,34,1,38,13,24,274,1,54,2,,9,1,21,699,2,8,18,2,6.0,0.0
9,1025,8,9455554505,1,1,0,0,584,0,79,1,36,13,24,274,8,54,2,,1252,2,21,699,2,8,18,2,6.0,
9,1025,8,1555554505,0,0,0,7,166,0,34,1,16,13,24,274,1,54,2,,9,1,21,699,2,8,18,2,30.0,0.0
9,1025,8,2555554505,1,1,0,0,766,0,34,1,32,0,24,274,1,54,0,,162,1,21,699,2,8,18,2,6.0,0.0
10,1025,8,3555554505,1,1,0,23,683,0,34,1,32,0,24,274,1,54,2,,10,1,21,699,2,8,18,2,90.0,0.0
10,1025,8,4555554505,0,1,0,0,682,0,79,1,32,0,0,217,1,54,0,,10,1,21,699,2,8,18,2,6.0,0.0
10,1025,8,6555554505,0,1,0,0,429,0,68,1,32,0,0,136,1,31,2,23.0,10,1,21,699,2,8,18,2,6.0,0.0
10,1025,8,8465554505,0,1,0,5,59,0,47,1,32,0,24,274,1,54,0,,10,1,21,699,2,8,18,2,18.0,0.0
10,1025,8,9465554505,1,1,0,4,135,0,34,1,32,13,24,274,1,54,2,25.0,10,1,21,699,2,8,18,2,2.0,0.0
10,1025,8,565554505,0,1,1,0,309,0,80,1,32,0,0,274,1,54,2,70.0,10,1,21,699,2,8,18,2,6.0,0.0
11,1025,8,1565554505,0,1,0,0,8,0,91,1,32,0,0,5,1,54,2,,11,1,21,699,2,8,18,2,6.0,0.0
12,1025,8,5565554505,0,1,0,5,181,0,34,1,36,13,24,274,1,54,2,,1252,2,21,699,2,8,18,2,18.0,
12,1025,4,9475554505,0,1,0,0,76,0,68,1,32,13,24,274,1,54,2,,12,1,21,699,2,8,18,2,6.0,0.0
12,1025,4,575554505,0,1,0,0,76,0,68,1,32,13,0,256,1,54,0,,12,1,21,699,2,8,18,2,6.0,0.0
12,1025,8,1575554505,1,1,0,0,64,0,68,1,36,13,24,274,8,54,2,,1252,2,21,699,2,8,18,2,6.0,
12,1025,8,3575554505,0,1,0,20,733,0,34,1,32,13,21,240,1,54,2,,12,1,21,699,2,8,18,2,82.0,0.0
12,1025,8,4575554505,1,1,0,0,423,0,34,1,32,0,24,274,1,54,0,30.0,12,1,21,699,2,8,18,2,6.0,0.0
