fecha_ingreso,hora_ingreso,nro_registro_interno,situacion,origen,es_anonima,tema,subtema,provincia,localidad,via_ingreso,consultante_provincia,consultante_como_conocio_la_linea,consultante_edad_aparente
2020-01-01,,1584554505,Urgencia,Ciudadano,No,Trata,Persona desaparecida,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Línea 145,Ciudad Autónoma de Buenos Aires,,25.0
2020-01-02,,4584554505,Urgencia,Ciudadano,No,Relaciones de familia,Deberes de responsabilidad parental o familiar,Jujuy,,Línea 145,,,
2020-01-02,,5584554505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Buenos Aires,Buenos Aires,Línea 145,,,
2020-01-02,,6584554505,Urgencia,Ciudadano,Si,Violencia de género,Económica,Salta,Salta,Línea 145,,"No sabe, no recuerda",
2020-01-02,,7584554505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,,,Línea 145,,"No sabe, no recuerda",
2020-01-02,,8494554505,Urgencia,Ciudadano,No,Salud,Salud mental,,,Línea 145,,,
2020-01-02,,9494554505,Urgencia,Ciudadano,No,Trata,Explotación sexual,,,Línea 145,,,
2020-01-03,,3594554505,Urgencia,Ciudadano,No,Trabajo,Despidos,Buenos Aires,Buenos Aires,Línea 145,,"No sabe, no recuerda",
2020-01-03,,6594554505,Urgencia,Ciudadano,No,Trata,Explotación laboral,Tierra del Fuego,Rio Grande,Línea 145,,"No sabe, no recuerda",
2020-01-03,,7594554505,Urgencia,Ciudadano,No,Víctima de delito,"Contra la propiedad: fraude, estafa , extorsión, usurpación o daños",Buenos Aires,Buenos Aires,Línea 145,,,
2020-01-03,,8405554505,Urgencia,Ciudadano,No,Trata,Oferta laboral engañosa,Buenos Aires,Buenos Aires,Línea 145,,"No sabe, no recuerda",
2020-01-03,,2505554505,Urgencia,Ciudadano,Si,Violencia de género,Física,Tucumán,San Miguel de Tucumán,Línea 145,,"No sabe, no recuerda",
2020-01-04,,3505554505,Urgencia,Ciudadano,No,Víctima de delito,Contra la integridad sexual: abuso sexual de adultos/as o niños/as,,,Línea 145,,,
2020-01-04,,4505554505,Urgencia,Ciudadano,No,Víctima de delito,"Contra la propiedad: fraude, estafa , extorsión, usurpación o daños",Santa Fe,Rosario,Línea 145,,,
2020-01-04,,5505554505,Urgencia,Ciudadano,No,Derechos de usuarios/as y consumidores/as,Transporte de larga distancia,,,Línea 145,,,
