fecha_ingreso,hora_ingreso,nro_registro_interno,situacion,origen,provincia,localidad,tema,subtema,es_anonima,via_ingreso,consultante_nacionalidad,consultante_provincia,consultante_localidad,consultante_como_conocio_la_linea,consultante_genero,consultante_edad_aparente
2020-01-01 00:00:00-03:00,,1584554505,Urgencia,Ciudadano,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Trata,Persona desaparecida,No,Línea 145,Argentina,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,,Mujer,25.0
2020-01-02 00:00:00-03:00,,4584554505,Urgencia,Ciudadano,Jujuy,,Relaciones de familia,Deberes de responsabilidad parental o familiar,No,Línea 145,Bolivia,,,,Mujer,
2020-01-02 00:00:00-03:00,,5584554505,Urgencia,Ciudadano,Buenos Aires,Buenos Aires,Trata,Explotación sexual,Si,Línea 145,,,,,Mujer,
2020-01-02 00:00:00-03:00,,6584554505,Urgencia,Ciudadano,Salta,Salta,Violencia de género,Económica,Si,Línea 145,Argentina,,,"No sabe, no recuerda",Mujer,
2020-01-02 00:00:00-03:00,,7584554505,Urgencia,Ciudadano,,,Trata,Explotación sexual,Si,Línea 145,,,,"No sabe, no recuerda",Mujer,
2020-01-02 00:00:00-03:00,,8494554505,Urgencia,Ciudadano,,,Salud,Salud mental,No,Línea 145,,,,,Hombre,
2020-01-02 00:00:00-03:00,,9494554505,Urgencia,Ciudadano,,,Trata,Explotación sexual,No,Línea 145,,,,,,
2020-01-03 00:00:00-03:00,,3594554505,Urgencia,Ciudadano,Buenos Aires,Buenos Aires,Trabajo,Despidos,No,Línea 145,,,,"No sabe, no recuerda",,
2020-01-03 00:00:00-03:00,,6594554505,Urgencia,Ciudadano,Tierra del Fuego,Rio Grande,Trata,Explotación laboral,No,Línea 145,Argentina,,,"No sabe, no recuerda",Hombre,
2020-01-03 00:00:00-03:00,,7594554505,Urgencia,Ciudadano,Buenos Aires,Buenos Aires,Víctima de delito,"Contra la propiedad: fraude, estafa , extorsión, usurpación o daños",No,Línea 145,,,,,Hombre,
2020-01-03 00:00:00-03:00,,8405554505,Urgencia,Ciudadano,Buenos Aires,Buenos Aires,Trata,Oferta laboral engañosa,No,Línea 145,Argentina,,,"No sabe, no recuerda",Mujer,
2020-01-03 00:00:00-03:00,,2505554505,Urgencia,Ciudadano,Tucumán,San Miguel de Tucumán,Violencia de género,Física,Si,Línea 145,,,,"No sabe, no recuerda",,
2020-01-04 00:00:00-03:00,,3505554505,Urgencia,Ciudadano,,,Víctima de delito,Contra la integridad sexual: abuso sexual de adultos/as o niños/as,No,Línea 145,,,,,Mujer,
2020-01-04 00:00:00-03:00,,4505554505,Urgencia,Ciudadano,Santa Fe,Rosario,Víctima de delito,"Contra la propiedad: fraude, estafa , extorsión, usurpación o daños",No,Línea 145,Argentina,,,,Mujer,
2020-01-04 00:00:00-03:00,,5505554505,Urgencia,Ciudadano,,,Derechos de usuarios/as y consumidores/as,Transporte de larga distancia,No,Línea 145,Argentina,,,,Mujer,
2020-01-04 00:00:00-03:00,,6505554505,Urgencia,Ciudadano,,,Trata,Explotación sexual,No,Línea 145,Argentina,Buenos Aires,Buenos Aires,,Mujer,
2020-01-05 00:00:00-03:00,,515554505,Urgencia,Ciudadano,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Violencia de género,Sexual,No,Línea 145,Bolivia,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,,Mujer,15.0
2020-01-05 00:00:00-03:00,,1515554505,Urgencia,Ciudadano,Córdoba,Córdoba,Violencia de género,Física,No,Línea 145,Argentina,,,,Mujer,
2020-01-06 00:00:00-03:00,,4515554505,Urgencia,Ciudadano,Buenos Aires,Hurlingham,Trata,"Posible captación, abuso sexual",No,Línea 145,Argentina,Buenos Aires,Hurlingham,,Mujer,
2020-01-06 00:00:00-03:00,,6515554505,Urgencia,Ciudadano,Buenos Aires,Buenos Aires,Trata,Explotación laboral,No,Línea 145,,,,,,
2020-01-09 00:00:00-03:00,,8445554505,Urgencia,Ciudadano,,,Trata,Explotación laboral,No,Línea 145,Argentina,,,"No sabe, no recuerda",Mujer,
2020-01-09 00:00:00-03:00,,1545554505,Urgencia,Ciudadano,Tucumán,Tucumán,Relaciones de familia,Disputas familiares,No,Línea 145,,,,"No sabe, no recuerda",,
2020-01-09 00:00:00-03:00,,3545554505,Urgencia,Ciudadano,Salta,Salta,Víctima de delito,Contra la integridad sexual: abuso sexual de adultos/as o niños/as,No,Línea 145,Argentina,,,Por publicidad en internet,Mujer,30.0
2020-01-10 00:00:00-03:00,,6545554505,Urgencia,Ciudadano,Entre Ríos,,Trata,Explotación sexual,No,Línea 145,Argentina,,,"No sabe, no recuerda",Mujer,
2020-01-10 00:00:00-03:00,,555554505,Urgencia,Ciudadano,Buenos Aires,Buenos Aires,Trata,Explotación sexual,No,Línea 145,Argentina,Buenos Aires,Buenos Aires,,Mujer,
2020-01-11 00:00:00-03:00,,5555554505,Urgencia,Ciudadano,Buenos Aires,Cañuelas,Víctima de delito,"Contra la libertad: privación de la libertad, amenazas, sustracción de identidad o posible desaparición de persona",No,Línea 145,Argentina,Buenos Aires,Cañuelas,Derivado de otro organismo,Mujer,32.0
2020-01-11 00:00:00-03:00,,7555554505,Urgencia,Institución,,,Víctima de delito,"Contra la integridad sexual: corrupción de menores, prostitución infantil, pornografía, explotación sexual de niñas/os o adolescentes,  grooming, contra la libertad: trata de personas con fines de explotación sexual o laboral",No,Línea 145,Argentina,,,Derivado de otro organismo,Mujer,
2020-01-12 00:00:00-03:00,,3565554505,Urgencia,Ciudadano,Buenos Aires,Buenos Aires,Relaciones de familia,"Deberes de responsabilidad parental o familiar, divorcio y cese de convivencia, violencia intrafamiliar",No,Línea 145,Argentina,,,,Hombre,
2020-01-13 00:00:00-03:00,,4565554505,Urgencia,Ciudadano,,,Salud,Salud mental,No,Línea 145,,,,,Hombre,
2020-01-13 00:00:00-03:00,,6565554505,Urgencia,Ciudadano,Córdoba,Córdoba,Trata,Explotación sexual,No,Línea 145,,,,,,
2020-01-13 00:00:00-03:00,,7565554505,Urgencia,Ciudadano,Buenos Aires,Buenos Aires,Trata,Explotación sexual,No,Línea 145,Argentina,,,,Hombre,
2020-01-13 00:00:00-03:00,,8475554505,Urgencia,Ciudadano,Neuquén,Neuquen,Trata,Persona desaparecida,No,telefono institucional,,,,,,
2020-01-13 00:00:00-03:00,,2575554505,Urgencia,Ciudadano,Neuquén,San Martín de los Andes,Trata,Persona desaparecida,No,teléfono institucional del Programa,Argentina,Buenos Aires,La Plata,,Hombre,
2020-01-14 00:00:00-03:00,,7575554505,Urgencia,Ciudadano,Buenos Aires,Buenos Aires,Trata,Posible captación,No,Línea 145,Argentina,Buenos Aires,Buenos Aires,,Mujer,
2020-01-14 00:00:00-03:00,,2584654505,Urgencia,Ciudadano,,,Trata,Persona desaparecida,No,Línea 145,Argentina,,,,Hombre,
2020-01-15 00:00:00-03:00,,3584654505,Urgencia,Ciudadano,Santa Fe,Barrancas,Trata,Persona desaparecida,No,Línea 145,,Santa Fe,Santa Fe,,Mujer,
2020-01-15 00:00:00-03:00,,4584654505,Urgencia,Ciudadano,Corrientes,Paso de los Libres,Trata,Articulacion,No,Línea 145,,,,,,
2020-01-15 00:00:00-03:00,,7584654505,Urgencia,Ciudadano,Tucumán,,Relaciones de familia,Violencia intrafamiliar,Si,Línea 145,,,,,,
2020-01-16 00:00:00-03:00,,4594654505,Urgencia,Ciudadano,Santa Fe,Santa Fe,Violencia de género,Psicológica,No,Línea 145,,Santa Fe,Santa Fe,,Mujer,
2020-01-16 00:00:00-03:00,,6594654505,Urgencia,Ciudadano,Mendoza,Luján de Cuyo,Trata,Encuesta sobre trata,Si,Línea 145,,,,,Mujer,
2020-01-16 00:00:00-03:00,,7594654505,Urgencia,Ciudadano,Tucumán,San Miguel de Tucumán,Relaciones de familia,Violencia intrafamiliar,Si,Línea 145,,,,,Mujer,
2020-01-16 00:00:00-03:00,,1505654505,Urgencia,Ciudadano,Buenos Aires,Cuidad Autónoma de Buenos Aires,Violencia de género,"Económica, psicológica",No,Línea 145,,Buenos Aires,Buenos Aires,"No sabe, no recuerda",Mujer,
2020-01-16 00:00:00-03:00,,3505654505,Urgencia,Ciudadano,Corrientes,Santa Lucía,Violencia de género,Sexual,Si,Línea 145,,,,"No sabe, no recuerda",,
2020-01-17 00:00:00-03:00,,7505654505,Urgencia,Ciudadano,,,Trata,Persona desaparecida,No,Línea 145,,,,"No sabe, no recuerda",Mujer,
2020-01-17 00:00:00-03:00,,9415654505,Urgencia,Ciudadano,Córdoba,Córdoba,Relaciones de familia,"Cuidado personal, régimen comunicacional o custodia legal, deberes de responsabilidad parental o familiar, protección de niños, niñas y adolescentes en desamparo",No,Línea 145,Argentina,Córdoba,Córdoba,,Mujer,
2020-01-17 00:00:00-03:00,,515654505,Urgencia,Ciudadano,Buenos Aires,Buenos Aires,Trata,"Posible captación, traslado de personas",No,Correo Institucional,Argentina,,,,Mujer,
2020-01-18 00:00:00-03:00,,6515654505,Urgencia,Ciudadano,,,Trata,Persona desaparecida,Si,Línea 145,,,,,,
2020-01-19 00:00:00-03:00,,8425654505,Urgencia,Ciudadano,Formosa,Clorinda,Trata,Problemas familiares,No,Línea 145,Argentina,Formosa,Clorinda,,,
2020-01-20 00:00:00-03:00,,3525654505,Urgencia,Ciudadano,Buenos Aires,San Martín,Trata,Persona desaparecida,No,Línea 145,,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,,Mujer,
2020-01-21 00:00:00-03:00,,5535654505,Urgencia,Ciudadano,Río Negro,Cipolletti,Trata,Explotación sexual,No,Línea 145,Argentina,,,Derivado de otro organismo,Mujer,35.0
2020-01-21 00:00:00-03:00,,6535654505,Urgencia,Ciudadano,Buenos Aires,Buenos Aires,Trata,Oferta laboral engañosa,Si,Línea 145,Argentina,Buenos Aires,Buenos Aires,,Mujer,
2020-01-21 00:00:00-03:00,,7535654505,Urgencia,Ciudadano,Buenos Aires,Los Polvorines,Trata,"Persona desaparecida, posible captación",No,Línea 145,Argentina,,,Derivado de otro organismo,Hombre,48.0
2020-01-21 00:00:00-03:00,,8445654505,Urgencia,Ciudadano,,,Víctima de delito,"Contra la libertad: privación de la libertad, amenazas, sustracción de identidad o posible desaparición de persona",No,Línea 145,Argentina,,,Por publicidad en internet,Hombre,50.0
2020-01-21 00:00:00-03:00,,3545654505,Urgencia,Ciudadano,Buenos Aires,Belén de Escobar,Salud,Salud mental,No,Línea 145,,,,,Mujer,
2020-01-22 00:00:00-03:00,,7545654505,Urgencia,Ciudadano,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Víctima de delito,Violencia de género,Si,Línea 145,,,,"No sabe, no recuerda",Hombre,
2020-01-22 00:00:00-03:00,,1555654505,Urgencia,Ciudadano,,,Trata,Explotación laboral,No,Línea 145,Peru,Buenos Aires,Pablo Nogués,,,
2020-01-23 00:00:00-03:00,,5555654505,Urgencia,Ciudadano,Buenos Aires,La Plata,Trata,Abuso sexual infantil,Si,Línea 145,,,,,Hombre,
2020-01-23 00:00:00-03:00,,9465654505,Urgencia,Ciudadano,Santa Cruz,,Trata,Posible secuestro,Si,Línea 145,,,,"No sabe, no recuerda",,
2020-01-23 00:00:00-03:00,,1565654505,Urgencia,Ciudadano,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Trata,Explotación sexual,Si,Línea 145,Argentina,,,,Mujer,
2020-01-24 00:00:00-03:00,,6565654505,Urgencia,Ciudadano,Buenos Aires,,Trata,Explotación sexual,No,Línea 145,,,,,,
2020-01-24 00:00:00-03:00,,9475654505,Urgencia,Ciudadano,Corrientes,Corrientes,Relaciones de familia,"Deberes de responsabilidad parental o familiar, protección de niños, niñas y adolescentes en desamparo, violencia intrafamiliar",No,Línea 145,Argentina,Corrientes,Corrientes,,Hombre,
2020-01-24 00:00:00-03:00,,575654505,Urgencia,Ciudadano,Buenos Aires,Buenos Aires,Víctima de delito,"Contra la libertad: privación de la libertad, amenazas, sustracción de identidad o posible desaparición de persona",No,Línea 145,Argentina,,,,Hombre,
2020-01-24 00:00:00-03:00,,1575654505,Urgencia,Ciudadano,Buenos Aires,Buenos Aires,Víctima de delito,"Contra la libertad: privación de la libertad, amenazas, sustracción de identidad o posible desaparición de persona",Si,Línea 145,Argentina,,,,Hombre,
2020-01-24 00:00:00-03:00,,2575654505,Urgencia,Ciudadano,Buenos Aires,Buenos Aires,Trata,Explotación sexual,Si,Línea 145,,,,,,
2020-01-24 00:00:00-03:00,,4575654505,Urgencia,Ciudadano,Buenos Aires,Buenos Aires,Salud,Salud mental,No,Línea 145,Argentina,Buenos Aires,Buenos Aires,,Mujer,
2020-01-24 00:00:00-03:00,,5575654505,Urgencia,Ciudadano,Buenos Aires,Buenos Aires,Trata,Posible captación,No,Línea 145,,,,"No sabe, no recuerda",,
2020-01-25 00:00:00-03:00,,9484754505,Urgencia,Ciudadano,Mendoza,Mendoza,Seguridad social (protección social),Acceso a prestaciones sociales de emergencia o ante situaciones críticas,Si,Línea 145,,,,,,
