fecha_ingreso,hora_ingreso,nro_registro_interno,situacion,origen,provincia,localidad,tema,subtema,es_anonima,via_ingreso,consultante_nacionalidad,consultante_provincia,consultante_localidad,consultante_como_conocio_la_linea,consultante_genero,consultante_edad_aparente
0,13.461407972858355,1584554505,1,0,4,86,34,481,0,11,1,4,36,38,2,25.0
1,13.461407972858355,4584554505,1,0,9,529,28,213,0,11,2,24,216,38,2,28.099697885196374
1,13.461407972858355,5584554505,1,0,0,47,34,294,1,11,15,24,216,38,2,28.099697885196374
1,13.461407972858355,6584554505,1,0,16,379,35,269,1,11,1,24,216,13,2,28.099697885196374
1,13.461407972858355,7584554505,1,0,24,529,34,294,1,11,15,24,216,13,2,28.099697885196374
1,13.461407972858355,8494554505,1,0,24,529,30,585,0,11,15,24,216,38,0,28.099697885196374
1,13.461407972858355,9494554505,1,0,24,529,34,294,0,11,15,24,216,38,12,28.099697885196374
2,13.461407972858355,3594554505,1,0,0,47,32,256,0,11,15,24,216,13,12,28.099697885196374
2,13.461407972858355,6594554505,1,0,22,366,34,290,0,11,1,24,216,13,0,28.099697885196374
2,13.461407972858355,7594554505,1,0,0,47,39,173,0,11,15,24,216,38,0,28.099697885196374
2,13.461407972858355,8405554505,1,0,0,47,34,443,0,11,1,24,216,13,2,28.099697885196374
2,13.461407972858355,2505554505,1,0,23,406,35,317,1,11,15,24,216,13,12,28.099697885196374
3,13.461407972858355,3505554505,1,0,24,529,39,170,0,11,15,24,216,38,2,28.099697885196374
3,13.461407972858355,4505554505,1,0,20,372,39,173,0,11,1,24,216,38,2,28.099697885196374
3,13.461407972858355,5505554505,1,0,24,529,11,672,0,11,1,24,216,38,2,28.099697885196374
3,13.461407972858355,6505554505,1,0,24,529,34,294,0,11,1,0,20,38,2,28.099697885196374
4,13.461407972858355,515554505,1,0,4,86,35,598,0,11,2,4,36,38,2,15.0
4,13.461407972858355,1515554505,1,0,6,119,35,317,0,11,1,24,216,38,2,28.099697885196374
5,13.461407972858355,4515554505,1,0,0,203,34,508,0,11,1,0,77,38,2,28.099697885196374
5,13.461407972858355,6515554505,1,0,0,47,34,290,0,11,15,24,216,38,12,28.099697885196374
6,13.461407972858355,8445554505,1,0,24,529,34,290,0,11,1,24,216,13,2,28.099697885196374
6,13.461407972858355,1545554505,1,0,23,451,28,260,0,11,15,24,216,13,12,28.099697885196374
6,13.461407972858355,3545554505,1,0,16,379,39,170,0,11,1,24,216,22,2,30.0
7,13.461407972858355,6545554505,1,0,7,529,34,294,0,11,1,24,216,13,2,28.099697885196374
7,13.461407972858355,555554505,1,0,0,47,34,294,0,11,1,0,20,38,2,28.099697885196374
8,13.461407972858355,5555554505,1,0,0,68,39,172,0,11,1,0,32,4,2,32.0
8,13.461407972858355,7555554505,1,1,24,529,39,171,0,11,1,24,216,4,2,28.099697885196374
9,13.461407972858355,3565554505,1,0,0,47,28,215,0,11,1,24,216,38,0,28.099697885196374
10,13.461407972858355,4565554505,1,0,24,529,30,585,0,11,15,24,216,38,0,28.099697885196374
10,13.461407972858355,6565554505,1,0,6,119,34,294,0,11,15,24,216,38,12,28.099697885196374
10,13.461407972858355,7565554505,1,0,0,47,34,294,0,11,1,24,216,38,0,28.099697885196374
10,13.461407972858355,8475554505,1,0,14,303,34,481,0,27,15,24,216,38,12,28.099697885196374
10,13.461407972858355,2575554505,1,0,14,404,34,481,0,29,1,0,91,38,0,28.099697885196374
11,13.461407972858355,7575554505,1,0,0,47,34,506,0,11,1,0,20,38,2,28.099697885196374
11,13.461407972858355,2584654505,1,0,24,529,34,481,0,11,1,24,216,38,0,28.099697885196374
12,13.461407972858355,3584654505,1,0,20,33,34,481,0,11,15,20,175,38,2,28.099697885196374
12,13.461407972858355,4584654505,1,0,5,324,34,55,0,11,15,24,216,38,12,28.099697885196374
12,13.461407972858355,7584654505,1,0,23,529,28,733,1,11,15,24,216,38,12,28.099697885196374
13,13.461407972858355,4594654505,1,0,20,419,35,556,0,11,15,20,175,38,2,28.099697885196374
13,13.461407972858355,6594654505,1,0,12,262,34,277,1,11,15,24,216,38,2,28.099697885196374
13,13.461407972858355,7594654505,1,0,23,406,28,733,1,11,15,24,216,38,2,28.099697885196374
13,13.461407972858355,1505654505,1,0,0,117,35,270,0,11,15,0,20,13,2,28.099697885196374
13,13.461407972858355,3505654505,1,0,5,420,35,598,1,11,15,24,216,13,12,28.099697885196374
14,13.461407972858355,7505654505,1,0,24,529,34,481,0,11,15,24,216,13,2,28.099697885196374
14,13.461407972858355,9415654505,1,0,6,119,28,196,0,11,1,6,47,38,2,28.099697885196374
14,13.461407972858355,515654505,1,0,0,47,34,511,0,2,1,24,216,38,2,28.099697885196374
15,13.461407972858355,6515654505,1,0,24,529,34,481,1,11,15,24,216,38,12,28.099697885196374
16,13.461407972858355,8425654505,1,0,8,95,34,547,0,11,1,8,39,38,12,28.099697885196374
17,13.461407972858355,3525654505,1,0,0,403,34,481,0,11,15,4,36,38,2,28.099697885196374
18,13.461407972858355,5535654505,1,0,15,83,34,294,0,11,1,24,216,4,2,35.0
18,13.461407972858355,6535654505,1,0,0,47,34,443,1,11,1,0,20,38,2,28.099697885196374
18,13.461407972858355,7535654505,1,0,0,258,34,482,0,11,1,24,216,4,0,48.0
18,13.461407972858355,8445654505,1,0,24,529,39,172,0,11,1,24,216,22,0,50.0
18,13.461407972858355,3545654505,1,0,0,39,30,585,0,11,15,24,216,38,2,28.099697885196374
19,13.461407972858355,7545654505,1,0,4,86,39,722,1,11,15,24,216,13,0,28.099697885196374
19,13.461407972858355,1555654505,1,0,24,529,34,290,0,11,8,0,125,38,12,28.099697885196374
20,13.461407972858355,5555654505,1,0,0,228,34,8,1,11,15,24,216,38,0,28.099697885196374
20,13.461407972858355,9465654505,1,0,19,529,34,522,1,11,15,24,216,13,12,28.099697885196374
20,13.461407972858355,1565654505,1,0,4,86,34,294,1,11,1,24,216,38,2,28.099697885196374
21,13.461407972858355,6565654505,1,0,0,529,34,294,0,11,15,24,216,38,12,28.099697885196374
21,13.461407972858355,9475654505,1,0,5,112,28,216,0,11,1,5,46,38,0,28.099697885196374
21,13.461407972858355,575654505,1,0,0,47,39,172,0,11,1,24,216,38,0,28.099697885196374
21,13.461407972858355,1575654505,1,0,0,47,39,172,1,11,1,24,216,38,0,28.099697885196374
21,13.461407972858355,2575654505,1,0,0,47,34,294,1,11,15,24,216,38,12,28.099697885196374
21,13.461407972858355,4575654505,1,0,0,47,30,585,0,11,1,0,20,38,2,28.099697885196374
21,13.461407972858355,5575654505,1,0,0,47,34,506,0,11,15,24,216,13,12,28.099697885196374
22,13.461407972858355,9484754505,1,0,12,282,31,11,1,11,15,24,216,38,12,28.099697885196374
23,13.461407972858355,7584754505,1,0,5,293,32,192,0,11,15,24,216,38,0,28.099697885196374
23,13.461407972858355,8494754505,1,0,0,394,39,170,0,11,15,24,216,38,12,28.099697885196374
23,13.461407972858355,594754505,1,0,4,86,34,294,1,11,15,24,216,38,12,28.099697885196374
24,13.461407972858355,4594754505,1,0,15,529,34,506,0,11,15,15,157,38,2,28.099697885196374
24,13.461407972858355,2505754505,1,0,6,119,39,173,0,2,15,24,216,38,2,28.099697885196374
25,13.461407972858355,6505754505,1,0,24,529,34,481,0,11,15,24,216,38,0,28.099697885196374
25,13.461407972858355,7505754505,1,0,20,463,28,485,1,11,15,24,216,13,12,28.099697885196374
25,13.461407972858355,8415754505,1,0,0,394,34,294,0,11,15,24,216,13,12,28.099697885196374
26,13.461407972858355,1515754505,1,0,24,529,39,54,1,11,15,24,216,38,12,28.099697885196374
26,13.461407972858355,3515754505,1,0,0,228,1,452,1,11,15,0,62,38,0,28.099697885196374
26,13.461407972858355,5515754505,1,0,4,86,34,294,1,11,15,24,216,38,2,28.099697885196374
26,13.461407972858355,8425754505,0,0,0,150,34,8,0,11,1,0,60,38,2,28.099697885196374
27,13.461407972858355,5525754505,1,0,4,86,39,706,1,11,15,24,216,38,2,28.099697885196374
27,13.461407972858355,6525754505,1,0,13,265,12,442,0,11,15,24,216,38,0,28.099697885196374
27,13.461407972858355,7525754505,1,0,0,47,31,612,0,11,15,24,216,38,0,28.099697885196374
27,13.461407972858355,8435754505,1,0,0,47,31,612,0,11,15,24,216,38,0,28.099697885196374
27,13.461407972858355,535754505,1,1,0,274,0,8,0,11,15,24,216,38,2,28.099697885196374
27,13.461407972858355,2535754505,1,0,24,529,34,294,1,11,15,24,216,38,0,28.099697885196374
28,13.461407972858355,3535754505,1,0,0,47,39,175,0,12,15,12,105,38,2,28.099697885196374
28,13.461407972858355,5535754505,1,0,0,47,16,615,0,11,1,24,216,38,0,28.099697885196374
28,13.461407972858355,7535754505,1,0,0,47,35,556,0,11,1,24,216,38,0,28.099697885196374
28,13.461407972858355,8445754505,1,0,0,178,39,175,0,11,15,24,216,38,0,28.099697885196374
28,13.461407972858355,9445754505,1,0,0,47,38,613,0,11,14,24,216,38,0,28.099697885196374
28,13.461407972858355,545754505,1,0,7,529,30,585,0,11,1,24,216,4,2,58.0
28,13.461407972858355,2545754505,1,0,0,214,34,298,0,11,15,24,216,38,2,28.099697885196374
29,13.461407972858355,9455754505,1,0,0,47,35,318,0,11,1,24,216,38,0,28.099697885196374
29,13.461407972858355,555754505,1,0,6,119,34,502,1,11,15,6,47,38,0,28.099697885196374
29,13.461407972858355,2555754505,1,1,0,442,34,510,0,2,15,24,216,38,12,28.099697885196374
29,13.461407972858355,3555754505,1,0,0,48,34,295,1,11,15,0,213,38,12,28.099697885196374
29,13.461407972858355,4555754505,1,0,14,304,39,172,0,11,1,24,216,13,2,57.0
30,13.461407972858355,9465754505,1,0,20,372,35,317,0,11,15,24,216,13,0,28.099697885196374
30,13.461407972858355,1565754505,1,0,0,156,34,33,0,2,15,24,216,13,2,28.099697885196374
30,13.461407972858355,5565754505,1,0,0,180,34,506,0,11,15,24,216,38,12,28.099697885196374
30,13.461407972858355,6565754505,1,0,4,86,34,294,0,11,1,0,109,38,2,28.099697885196374
31,13.461407972858355,8475754505,1,0,0,60,35,317,0,11,1,24,216,13,2,28.099697885196374
31,13.461407972858355,575754505,1,0,8,95,30,585,0,11,15,8,0,13,2,28.099697885196374
32,13.461407972858355,3575754505,1,0,0,47,34,294,0,11,15,24,216,38,12,28.099697885196374
32,13.461407972858355,8484845505,1,0,6,119,34,542,0,11,1,6,47,38,9,28.099697885196374
33,13.461407972858355,3584845505,0,1,24,529,34,294,0,11,15,24,216,38,12,28.099697885196374
33,13.461407972858355,4584845505,1,1,0,203,34,481,0,2,15,24,216,38,12,28.099697885196374
33,13.461407972858355,6584845505,1,0,0,47,34,445,0,11,15,16,155,13,2,28.099697885196374
33,13.461407972858355,7584845505,1,1,9,217,34,294,0,11,15,24,216,38,0,28.099697885196374
33,13.461407972858355,8494845505,1,0,24,529,34,290,0,11,1,24,216,13,0,28.099697885196374
34,13.461407972858355,5594845505,1,0,0,251,30,585,0,11,1,24,216,38,2,28.099697885196374
